Reference,number,water_depth_m,area_m2,volume_m3,porosity,voids_m3,HLR_lit_m2d,daily_flow_lit,OLR_gCOD_m2d,HRT_h,HRT_days,air_flow_m3h,aer_duration_h_day,air_per_day_m3,air_per_HRT_m3,COD_IN,COD_OUT,deltaCOD,CBOD_IN,CBOD_OUT,deltaCBOD,TKN_IN,TKN_OUT,deltaTKN,NH4_IN,NH4_OUT,deltaNH4,OCR_max_v,OCR_int_v,OCR_min_v,OCR_max_a,OCR_int_a,OCR_min_a,OC_max,OC_int,OC_min,OI,AE_max,AE_int,AE_min
"(Fan et al., 2013b)",6a,0.65,0.031400000000000004,0.020410000000000005,0.4,0.006,64.0,2.0096000000000003,7.232,72.0,3.0,0.09,4,0.36,1.08,113.0,10.0,103.0,,,,41.330000000000005,2.440000000000005,38.89,,,,27.755716923076918,11.580356923076922,6.509587692307692,18.041216,7.527232,6.509587692307692,1.6994825472000001,0.7090652544000001,0.39858205440000005,275.562,0.6167332749798512,0.2573160502536642,0.14464333050274739
"(Fan et al., 2013b)",6b,0.65,0.031400000000000004,0.020410000000000005,0.4,0.006,64.0,2.0096000000000003,13.888,72.0,3.0,0.09,4,0.36,1.08,217.0,11.0,206.0,,,,41.099999999999994,1.0699999999999967,40.03,,,,38.413587692307686,16.841944615384612,6.700406153846154,24.968832,10.947263999999999,6.700406153846154,2.3520639744,1.0312322688000002,0.41026586880000004,275.562,0.8535516415180547,0.37422876477889216,0.1488833252770791
"(Fan et al., 2013b)",6c,0.65,0.031400000000000004,0.020410000000000005,0.4,0.006,64.0,2.0096000000000003,27.456,72.0,3.0,0.09,4,0.36,1.08,429.0,17.0,412.0,,,,41.309999999999995,0.41999999999999993,40.88999999999999,,,,59.08617846153845,27.127433846153842,6.844356923076921,38.406015999999994,17.632831999999997,6.844356923076921,3.6178467072000005,1.6610127744000003,0.41907997439999994,275.562,1.3128975356544035,0.6027727968297436,0.15208191782611752
"(Fan et al., 2013b)",6d,0.65,0.031400000000000004,0.020410000000000005,0.4,0.006,64.0,2.0096000000000003,53.504,72.0,3.0,0.09,4,0.36,1.08,836.0,22.0,814.0,,,,41.239999999999995,1.7999999999999998,39.44,,,,98.01097846153844,46.675495384615374,6.601649230769229,63.707136,30.339071999999998,6.601649230769229,6.0012122112,2.8579405824000004,0.40421898240000004,275.562,2.1778083375792114,1.037131601019,0.1466889420166721
"(Fan et al., 2013c)",7,0.7,2.0,1.4,,0.9799999999999999,100.0,200.0,30.1,117.6,4.8999999999999995,0.12,4,0.48,2.352,301.0,8.0,293.0,,,,,,,37.0,1.7,35.3,65.05428571428571,29.501428571428573,8.572857142857142,45.538,20.651,8.572857142857142,446.27239999999995,202.3798,58.80979999999999,600.1128,74.36475275981448,33.72362662486119,9.799790972630479
"(Foladori et al., 2013)",8,0.24,2.25,0.54,0.3,0.1296,158.0,355.5,69.20400000000001,8.749367088607595,0.36455696202531646,3.5,4,14.0,5.10379746835443,438.0,52.0,386.0,,,,71.0,16.3,54.7,,,,419.76649999999995,188.27675,61.218416666666656,100.74395999999999,45.18642,61.218416666666656,82.63555199999999,37.064304,12.051504,1302.2339240506328,6.345676492819348,2.8462093726379436,0.9254484756865726
"(Maltais-Landry et al., 2007)",9a,0.26,1.0,0.26,,,30.0,30.0,6.9,3.42,0.1425,2.0,24,48.0,6.84,230.0,13.0,217.0,,,,40.0,8.0,32.0,,,,42.023076923076914,18.796153846153842,6.276923076923076,10.925999999999998,4.887,6.276923076923076,1.5569549999999996,0.6963974999999999,0.23255999999999996,1745.226,0.08921222810111791,0.03990299823633746,0.013325494806971778
"(Maltais-Landry et al., 2007)",9b,0.26,1.0,0.26,,,60.0,60.0,13.8,1.71,0.07125,2.0,24,48.0,3.42,230.0,10.0,220.0,,,,38.0,15.2,22.8,,,,74.97230769230768,34.32923076923077,8.944615384615384,19.4928,8.9256,8.944615384615384,1.3888619999999998,0.6359489999999999,0.16569899999999999,872.613,0.15916127767979818,0.07287869880462271,0.01898883009994325
"(Maltais-Landry et al., 2007)",9c,0.26,1.0,0.26,,,90.0,90.0,20.7,1.14,0.047499999999999994,2.0,24,48.0,2.28,230.0,22.0,208.0,,,,38.0,22.799999999999997,15.200000000000003,,,,96.20307692307692,44.94461538461538,8.944615384615386,25.0128,11.685599999999999,8.944615384615386,1.1881079999999997,0.555066,0.110466,581.742,0.20423280423281395,0.0954144620811306,0.018988830099936738
"(Nivala et al., 2007)",10a,0.3,93.0,27.9,0.35,9.765,4.0,372.0,2.936,630.0,26.25,108.0,24,2592.0,68040.0,734.0,414.0,320.0,,,,,,,195.0,14.0,181.0,15.367999999999997,6.236,4.102666666666666,4.6103999999999985,1.8708,4.102666666666666,11255.139,4567.0905,3004.6905,17360406.0,0.06483223376226667,0.02630750974372871,0.017307720222664313
"(Nivala et al., 2007)",10b,0.3,93.0,27.9,0.35,9.765,4.0,372.0,3.092,630.0,26.25,108.0,24,2592.0,68040.0,773.0,406.0,367.0,,,,,,,175.0,6.8,168.2,15.2096,6.2592,3.812533333333333,4.56288,1.8777599999999999,3.812533333333333,11139.130799999999,4584.0815999999995,2792.2041,17360406.0,0.06416399939034446,0.02640538245476067,0.016083748847818442
"(Nivala et al., 2007)",10c,0.3,93.0,27.9,0.35,9.765,4.0,372.0,3.492,630.0,26.25,108.0,24,2592.0,68040.0,873.0,350.0,523.0,,,,,,,253.0,4.3,248.7,22.22693333333333,9.123866666666666,5.6372,6.668079999999999,2.73716,5.6372,16278.4503,6682.091850000001,4128.54435,17360406.0,0.0937676820461492,0.03849041232101003,0.023781381322523422
"(Nivala et al., 2007)",10d,0.3,93.0,27.9,0.35,9.765,4.0,372.0,2.512,630.0,26.25,108.0,24,2592.0,68040.0,628.0,409.0,219.0,,,,,,,190.0,13.0,177.0,13.776,5.4719999999999995,4.012,4.1328,1.6415999999999997,4.012,10089.198,4007.5560000000005,2938.2885,17360406.0,0.05811614083218404,0.023084460121507114,0.01692522916802632
"(Ouellet-Plamondon et al., 2006)",11a,0.3,0.96,0.288,0.4,0.1152,30.0,28.799999999999997,16.200000000000003,96.0,4.0,0.12,24,2.88,11.52,540.0,54.0,486.0,,,,18.2,0.24,17.96,,,,56.86160000000001,27.3532,3.0532000000000004,17.058480000000003,8.205960000000001,3.0532000000000004,65.5045632,31.5108864,3.5172864,2939.3279999999995,2.228555751518719,1.072043895747596,0.11966294336665058
"(Ouellet-Plamondon et al., 2006)",11b,0.3,0.96,0.288,0.4,0.1152,30.0,28.799999999999997,16.200000000000003,96.0,4.0,0.12,24,2.88,11.52,540.0,54.0,486.0,,,,14.4,0.52,13.88,,,,54.98480000000001,26.6596,2.3596,16.495440000000002,7.99788,2.3596,63.3424896,30.7118592,2.7182592,2939.3279999999995,2.1549990201842104,1.0448598863413734,0.09247893396041275
"(Pan et al., 2012)",12,1.7,2495.0,4241.5,0.37,1569.355,1600.0,3992000.0,85.76,11.3,0.4708333333333334,308.4,24,7401.599999999999,3484.92,53.6,30.9,22.700000000000003,,,,,,,5.14,0.7709999999999999,4.369,40.27990588235294,17.67275294117647,6.990399999999999,68.47584,30.04368,6.990399999999999,80440.56646,35293.187170000005,13960.105503333334,889177.3379999999,9.046628048453481,3.9691955318366485,1.5700023951052817
"(Patil and Chakraborty, 2017)",13a,0.25,0.3,0.075,,0.01875,44.6,13.38,15.2978,77.92,3.2466666666666666,0.15,4,0.6,1.948,343.0,10.29000000000002,332.71,,,,,,,36.0,10.440000000000001,25.56,80.33102240000001,37.429568800000006,7.7518368,20.082755600000002,9.357392200000001,7.7518368,19.5606039544,9.1141000028,1.8875722608,497.0322,3.9354802273172633,1.8337041348226537,0.37976860670194557
