authors,title,keywords,periodical,id
"Guo, LC; He, KL; Wu, SB; Sun, H; Wang, YF; Huang, X; Dong, RJ",Optimization of high-rate TN removal in a novel constructed wetland integrated with microelectrolysis system treating high-strength digestate supernatant,Horizontal flow constructed wetlands; Anaerobic digestate supernatant; Intermittent aeration; Effluent recirculation; Microelectrolysis system,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2016.04.044
"Zapater-Pereyra, M; Kyomukama, E; Namakula, V; van Bruggen, JJA; Lens, PNL",The effect of aeration and recirculation on a sand-based hybrid constructed wetland treating low-strength domestic wastewater,Aeration; hybrid constructed wetland; low-strength domestic wastewater; nitrogen; recirculation,ENVIRONMENTAL TECHNOLOGY,10.1080/09593330.2015.1135994
"Uggetti, E; Hughes-Riley, T; Morris, RH; Newton, MI; Trabi, CL; Hawes, P; Puigagut, J; Garcia, J",Intermittent aeration to improve wastewater treatment efficiency in pilot-scale constructed wetland,Intermittent aeration; Ammonium removal; Nitrification/denitrification; Constructed wetlands; Horizontal sub-surface flow,SCIENCE OF THE TOTAL ENVIRONMENT,10.1016/j.scitotenv.2016.03.195
"Hong, JM; Hu, MM; Sun, R; Chen, BY",Unraveling characteristics of nutrient removal and microbial community in a novel aerated landscape - Activated sludge ecological system,Landscape-activated sludge ecological system (LASeM); Aeration rate (AR); Nutrient removal; Microbial community,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2016.04.042
"Wu, HM; Fan, JL; Zhang, J; Ngo, HH; Guo, WS; Liang, S; Lv, JL; Lu, SY; Wu, WZ; Wu, SQ",Intensified organics and nitrogen removal in the intermittent-aerated constructed wetland using a novel sludge-ceramsite as substrate,Subsurface flow constructed wetlands; Domestic wastewater; Aeration; Nitrogen removal,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2016.01.051
"Butterworth, E; Richards, A; Jones, M; Brix, H; Dotro, G; Jefferson, B",Impact of aeration on macrophyte establishment in sub-surface constructed wetlands used for tertiary treatment of sewage,Aeration; Plant development; Reed beds; Nutrients; Biomass; Wastewater,ECOLOGICAL ENGINEERING,10.1016/j.ecoleng.2016.01.017
"Murphy, C; Rajabzadeh, AR; Weber, KP; Nivala, J; Wallace, SD; Cooper, DJ",Nitrification cessation and recovery in an aerated saturated vertical subsurface flow treatment wetland: Field studies and microscale biofilm modeling,Aeration; Constructed wetland; Denitrification; Diffusion; Intensified wetland,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2016.02.065
"Du, X; Shi, CH; Ma, FS",Influence of intermittent aeration and organic loading rate on lab-scale constructed wetland systems treating synthetic wastewater,Oxygen supply; Photovoltaic aeration; Vertical flow; Organic loading rate; Tidal flow,DESALINATION AND WATER TREATMENT,10.1080/19443994.2015.1033649
"Wu, SB; Lei, M; Lu, QM; Guo, LC; Dong, RJ",Treatment of pig manure liquid digestate in horizontal flow constructed wetlands: Effect of aeration,Anaerobic digestion; Effluent recirculation; Farmland loading capacity; Horizontal flow constructed wetland; Intermittent aeration,ENGINEERING IN LIFE SCIENCES,10.1002/elsc.201500030
"Yang, YQ; Zhan, X; Wu, SJ; Kang, ML; Guo, JN; Chen, FR",Effect of hydraulic loading rate on pollutant removal efficiency in subsurface infiltration system under intermittent operation and micro-power aeration,Subsurface wastewater infiltration system; High hydraulic loading rate; Intermittent operation; Intermittent aeration; Oxygen concentration,BIORESOURCE TECHNOLOGY,10.1016/j.biortech.2015.12.088
"Zhang, M; Wang, JM; Zhang, ZZ; Song, ZZ; Zhang, ZJ; Zhang, BY; Zhang, GQ; Wu, WM",A field pilot-scale study of biological treatment of heavy oil-produced water by biological filter with airlift aeration and hydrolytic acidification system,Heavy oil-produced water; Biological filter with airlift aeration; Refractory organic matter; Bioaugmentation; Biodegradation; Removal of total nitrogen,ENVIRONMENTAL SCIENCE AND POLLUTION RESEARCH,10.1007/s11356-015-5721-y
"Yan, X; Han, YP; Li, QL; Sun, JH; Su, XF",Impact of internal recycle ratio on nitrous oxide generation from anaerobic/anoxic/oxic biological nitrogen removal process,Wastewater treatment; Anaerobic-anoxic-oxic process; Biological nitrogen removal; Internal recycle ratio; Greenhouse gas; Nitrous oxide,BIOCHEMICAL ENGINEERING JOURNAL,10.1016/j.bej.2015.11.005
"Kirui, WK; Wu, SB; Kizito, S; Carvalho, PN; Dong, RJ",Pathways of nitrobenzene degradation in horizontal subsurface flow constructed wetlands: Effect of intermittent aeration and glucose addition,Constructed wetlands; Intermittent aeration; Nitrobenzene; Nitrogen; Sulphur,JOURNAL OF ENVIRONMENTAL MANAGEMENT,10.1016/j.jenvman.2015.10.001
"Hyun, K; Choi, J; Ki, D; Park, J; Ahn, S; Oh, H; Choung, YK","Bathroom wastewater treatment in constructed wetlands with planting, non-planting and aeration, non-aeration conditions",Greywater; Constructed wetland; Planting; Aeration; Microbial community; Apartment complex,DESALINATION AND WATER TREATMENT,10.1080/19443994.2014.997991
